Инструмент;Embedding Dimension;Time Delay;Radius;RR;DET;LAM;TT;DIV;diag_entr;vert_entr;white_vert_entr;MINLINE;Доходность;Волатильность;Sharpe Ratio
F;4;1;0.9;0.0796;0.9359;0.9356;5.2814;0.0312;2.1972;2.2985;4.3455;2;-47.4797;0.0309;-0.9761
GM;4;1;0.9;0.0099;0.5691;0.2705;2.3239;0.1429;1.0329;0.7116;5.0732;2;-49.7023;0.0277;-1.1394
TM;4;1;0.9;0.004;;0.0;;inf;0.0;0.0;5.5053;2;-27.2904;0.0173;-1.0008
HMC;4;1;0.9;0.0675;0.8894;0.8775;4.2882;0.0323;1.9962;1.9968;4.159;2;-15.5847;0.0176;-0.5629
GLD;4;1;0.9;0.0048;0.7391;0.0442;2.1667;0.25;0.7963;0.4506;5.4098;2;1.9204;0.0096;0.1271
SLV;4;1;0.9;0.0694;0.9224;0.9333;4.4229;0.037;2.0113;2.0445;4.2972;2;8.3313;0.019;0.2788
PALL;4;1;0.9;0.004;;0.0;;inf;0.0;0.0;5.5053;2;10.6484;0.0324;0.2089
PLAT;4;1;0.9;0.0163;0.7374;0.4721;2.4508;0.125;1.2877;0.8912;4.6971;2;-49.7611;0.025;-1.2643
FCX;4;1;0.9;0.0059;0.3103;0.0467;2.125;0.25;0.3768;0.3768;5.3112;2;7.3001;0.034;0.1364
SPY;4;1;0.9;0.004;;0.0;;inf;0.0;0.0;5.5053;2;-17.7133;0.0153;-0.7353
IVV;4;1;0.9;0.004;;0.0;;inf;0.0;0.0;5.5053;2;-17.7171;0.0153;-0.7358
VOO;4;1;0.9;0.004;;0.0;;inf;0.0;0.0;5.5053;2;-17.7629;0.0153;-0.7395
QQQ;4;1;0.9;0.0041;0.0;0.0;;1.0;0.0;0.0;5.5017;2;-35.2202;0.0203;-1.1027
DIA;4;1;0.9;0.0041;0.0;0.0;;1.0;0.0;0.0;5.5017;2;-5.9812;0.0125;-0.3045
AAPL;4;1;1.0;0.0042;0.3333;0.0154;2.0;0.5;0.0;0.0;5.4832;2;-26.8375;0.0225;-0.7584
GOOG;4;1;1.0;0.0041;0.0;0.016;2.0;1.0;0.0;0.0;5.5032;2;-41.6605;0.0245;-1.081
MSFT;4;1;1.0;0.0041;0.0;0.016;2.0;1.0;0.0;0.0;5.5032;2;-26.2126;0.0223;-0.7468
AMZN;4;1;1.0;0.0041;0.0;0.0;;1.0;0.0;0.0;5.5017;2;-58.2284;0.0316;-1.1711
META;4;1;1.0;0.004;;0.0;;inf;0.0;0.0;5.5053;2;-81.5559;0.0406;-1.2769
XOM;4;1;1.0;0.0043;0.25;0.0076;2.0;0.5;0.0;0.0;5.4812;2;65.175;0.022;1.8785
CVX;4;1;1.0;0.004;;0.0;;inf;0.0;0.0;5.5053;2;49.8271;0.0208;1.5241
BP;4;1;1.0;0.0461;0.8393;0.7902;2.996;0.0625;1.6241;1.3776;4.323;2;35.047;0.0224;0.9917
GAZP.ME;4;1;1.0;0.0133;;0.0;;inf;0.0;0.0;4.2905;2;-12.4395;0.0606;-0.4235
LUKOY;4;1;1.0;0.6577;0.9998;0.9989;100.0124;0.0063;3.9776;0.7209;1.8685;2;-148.0278;0.0921;-1.021
TSLA;4;1;1.0;0.004;;0.0;;inf;0.0;0.0;5.5053;2;-96.1875;0.0412;-1.4841
F;4;1;1.0;0.0956;0.9513;0.9531;5.9114;0.0164;2.2959;2.4544;4.261;2;-47.4797;0.0309;-0.9761
GM;4;1;1.0;0.0123;0.6838;0.3435;2.3125;0.125;1.0927;0.6152;4.973;2;-49.7023;0.0277;-1.1394
TM;4;1;1.0;0.0041;1.0;0.0;;0.5;0.0;0.0;5.4959;2;-27.2904;0.0173;-1.0008
HMC;4;1;1.0;0.0841;0.9143;0.9099;4.7127;0.0278;2.0703;2.1332;4.1054;2;-15.5847;0.0176;-0.5629
GLD;4;1;1.0;0.005;0.6774;0.0677;2.1;0.1667;0.7356;0.3251;5.3798;2;1.9204;0.0096;0.1271
SLV;4;1;1.0;0.0849;0.93;0.95;4.8857;0.0125;2.0831;2.1891;4.2341;2;8.3313;0.019;0.2788
PALL;4;1;1.0;0.004;;0.0;;inf;0.0;0.0;5.5053;2;10.6484;0.0324;0.2089
PLAT;4;1;1.0;0.0208;0.7771;0.5766;2.7132;0.125;1.4423;1.1517;4.5822;2;-49.7611;0.025;-1.2643
FCX;4;1;1.0;0.0067;0.3902;0.0777;2.2857;0.25;0.2449;0.5983;5.2578;2;7.3001;0.034;0.1364
SPY;4;1;1.0;0.004;;0.0;;inf;0.0;0.0;5.5053;2;-17.7133;0.0153;-0.7353
IVV;4;1;1.0;0.004;;0.0;;inf;0.0;0.0;5.5053;2;-17.7171;0.0153;-0.7358
VOO;4;1;1.0;0.004;;0.0;;inf;0.0;0.0;5.5053;2;-17.7629;0.0153;-0.7395
QQQ;4;1;1.0;0.0041;0.0;0.0;;1.0;0.0;0.0;5.5017;2;-35.2202;0.0203;-1.1027
DIA;4;1;1.0;0.0041;0.6667;0.0;;0.5;0.0;0.0;5.4923;2;-5.9812;0.0125;-0.3045
AAPL;4;2;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-26.8375;0.0225;-0.7584
GOOG;4;2;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-41.6605;0.0245;-1.081
MSFT;4;2;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-26.2126;0.0223;-0.7468
AMZN;4;2;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-58.2284;0.0316;-1.1711
META;4;2;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-81.5559;0.0406;-1.2769
XOM;4;2;0.8;0.0041;0.0;0.0161;2.0;1.0;0.0;0.0;5.4872;2;65.175;0.022;1.8785
CVX;4;2;0.8;0.0042;0.0;0.0478;2.0;1.0;0.0;0.0;5.4866;2;49.8271;0.0208;1.5241
BP;4;2;0.8;0.0149;0.3395;0.5834;2.2851;0.125;1.4362;0.6767;4.921;2;35.047;0.0224;0.9917
GAZP.ME;4;2;0.8;0.0139;;0.0;;inf;0.0;0.0;4.2485;2;-12.4395;0.0606;-0.4235
LUKOY;4;2;0.8;0.6345;0.9996;0.9987;96.2911;0.0065;3.9274;0.7523;1.9695;2;-148.0278;0.0921;-1.021
TSLA;4;2;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-96.1875;0.0412;-1.4841
F;4;2;0.8;0.0407;0.6521;0.8386;4.0216;0.05;2.0106;1.865;4.6615;2;-47.4797;0.0309;-0.9761
GM;4;2;0.8;0.0059;0.1273;0.1634;2.0;0.25;0.6931;0.0;5.3504;2;-49.7023;0.0277;-1.1394
TM;4;2;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-27.2904;0.0173;-1.0008
HMC;4;2;0.8;0.0327;0.5023;0.7134;3.3389;0.0357;1.6961;1.5812;4.6076;2;-15.5847;0.0176;-0.5629
GLD;4;2;0.8;0.0044;0.0;0.0;;1.0;0.0;0.0;5.4635;2;1.9204;0.0096;0.1271
SLV;4;2;0.8;0.0329;0.6088;0.8165;3.3703;0.0476;1.9718;1.5901;4.6879;2;8.3313;0.019;0.2788
PALL;4;2;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;10.6484;0.0324;0.2089
PLAT;4;2;0.8;0.0085;0.1729;0.3914;2.1505;0.2;1.213;0.4001;5.1478;2;-49.7611;0.025;-1.2643
FCX;4;2;0.8;0.0045;0.0;0.0886;2.0;1.0;0.0;0.0;5.4609;2;7.3001;0.034;0.1364
SPY;4;2;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-17.7133;0.0153;-0.7353
IVV;4;2;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-17.7171;0.0153;-0.7358
VOO;4;2;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-17.7629;0.0153;-0.7395
QQQ;4;2;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-35.2202;0.0203;-1.1027
DIA;4;2;0.8;0.0041;0.0;0.0162;2.0;1.0;0.0;0.0;5.4909;2;-5.9812;0.0125;-0.3045
AAPL;4;2;0.9;0.0041;0.0;0.0;;1.0;0.0;0.0;5.4893;2;-26.8375;0.0225;-0.7584
GOOG;4;2;0.9;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-41.6605;0.0245;-1.081
MSFT;4;2;0.9;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-26.2126;0.0223;-0.7468
AMZN;4;2;0.9;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-58.2284;0.0316;-1.1711
META;4;2;0.9;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-81.5559;0.0406;-1.2769
XOM;4;2;0.9;0.0041;0.0;0.0161;2.0;1.0;0.0;0.0;5.4872;2;65.175;0.022;1.8785
CVX;4;2;0.9;0.0042;0.0;0.0478;2.0;1.0;0.0;0.0;5.4866;2;49.8271;0.0208;1.5241
BP;4;2;0.9;0.0197;0.4145;0.6367;2.5151;0.0909;1.575;0.9582;4.8253;2;35.047;0.0224;0.9917
GAZP.ME;4;2;0.9;0.0139;;0.0;;inf;0.0;0.0;4.2485;2;-12.4395;0.0606;-0.4235
LUKOY;4;2;0.9;0.6345;0.9996;0.9987;96.2911;0.0065;3.9274;0.7523;1.9695;2;-148.0278;0.0921;-1.021
TSLA;4;2;0.9;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-96.1875;0.0412;-1.4841
F;4;2;0.9;0.0539;0.7329;0.8772;4.6189;0.0204;2.1883;2.1137;4.5842;2;-47.4797;0.0309;-0.9761
GM;4;2;0.9;0.0065;0.0959;0.1867;2.0278;0.25;0.6931;0.1269;5.3262;2;-49.7023;0.0277;-1.1394
TM;4;2;0.9;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-27.2904;0.0173;-1.0008
HMC;4;2;0.9;0.0452;0.5515;0.7621;3.8689;0.0357;1.9411;1.8401;4.4816;2;-15.5847;0.0176;-0.5629
GLD;4;2;0.9;0.0044;0.0;0.0;;1.0;0.0;0.0;5.4624;2;1.9204;0.0096;0.1271
SLV;4;2;0.9;0.0444;0.6782;0.852;3.8199;0.0169;2.0798;1.8062;4.5491;2;8.3313;0.019;0.2788
PALL;4;2;0.9;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;10.6484;0.0324;0.2089
PLAT;4;2;0.9;0.0101;0.2376;0.4465;2.2033;0.2;1.2914;0.5121;5.0648;2;-49.7611;0.025;-1.2643
FCX;4;2;0.9;0.0046;0.0;0.0866;2.0;1.0;0.0;0.0;5.4486;2;7.3001;0.034;0.1364
SPY;4;2;0.9;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-17.7133;0.0153;-0.7353
IVV;4;2;0.9;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-17.7171;0.0153;-0.7358
VOO;4;2;0.9;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-17.7629;0.0153;-0.7395
QQQ;4;2;0.9;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-35.2202;0.0203;-1.1027
DIA;4;2;0.9;0.0041;0.0;0.0162;2.0;1.0;0.0;0.0;5.4909;2;-5.9812;0.0125;-0.3045
AAPL;4;2;1.0;0.0041;0.0;0.0;;1.0;0.0;0.0;5.4893;2;-26.8375;0.0225;-0.7584
GOOG;4;2;1.0;0.0041;0.0;0.0162;2.0;1.0;0.0;0.0;5.4909;2;-41.6605;0.0245;-1.081
MSFT;4;2;1.0;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-26.2126;0.0223;-0.7468
AMZN;4;2;1.0;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-58.2284;0.0316;-1.1711
META;4;2;1.0;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-81.5559;0.0406;-1.2769
XOM;4;2;1.0;0.0042;0.0;0.0316;2.0;1.0;0.0;0.0;5.4814;2;65.175;0.022;1.8785
CVX;4;2;1.0;0.0042;0.0;0.0474;2.0;1.0;0.0;0.0;5.4844;2;49.8271;0.0208;1.5241
BP;4;2;1.0;0.0249;0.492;0.6919;2.6831;0.0909;1.691;1.123;4.7397;2;35.047;0.0224;0.9917
GAZP.ME;4;2;1.0;0.0139;;0.0;;inf;0.0;0.0;4.2485;2;-12.4395;0.0606;-0.4235
LUKOY;4;2;1.0;0.6345;0.9996;0.9987;96.2911;0.0065;3.9274;0.7523;1.9695;2;-148.0278;0.0921;-1.021
TSLA;4;2;1.0;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-96.1875;0.0412;-1.4841
F;4;2;1.0;0.0679;0.7869;0.8942;5.312;0.0182;2.2903;2.2998;4.5139;2;-47.4797;0.0309;-0.9761
GM;4;2;1.0;0.0077;0.1019;0.2733;2.0656;0.1667;1.0986;0.242;5.269;2;-49.7023;0.0277;-1.1394
TM;4;2;1.0;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-27.2904;0.0173;-1.0008
HMC;4;2;1.0;0.0603;0.639;0.8209;4.5778;0.0333;2.2667;2.1021;4.3989;2;-15.5847;0.0176;-0.5629
GLD;4;2;1.0;0.0045;0.0;0.0147;2.0;1.0;0.0;0.0;5.4507;2;1.9204;0.0096;0.1271
SLV;4;2;1.0;0.0582;0.7289;0.8745;4.5163;0.0139;2.2857;2.063;4.4495;2;8.3313;0.019;0.2788
PALL;4;2;1.0;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;10.6484;0.0324;0.2089
PLAT;4;2;1.0;0.0131;0.2684;0.5323;2.2703;0.2;1.3151;0.6337;4.966;2;-49.7611;0.025;-1.2643
FCX;4;2;1.0;0.0049;0.0769;0.1347;2.0;0.5;0.0;0.0;5.4243;2;7.3001;0.034;0.1364
SPY;4;2;1.0;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-17.7133;0.0153;-0.7353
IVV;4;2;1.0;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-17.7171;0.0153;-0.7358
VOO;4;2;1.0;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-17.7629;0.0153;-0.7395
QQQ;4;2;1.0;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-35.2202;0.0203;-1.1027
DIA;4;2;1.0;0.0041;0.0;0.0162;2.0;1.0;0.0;0.0;5.4909;2;-5.9812;0.0125;-0.3045
AAPL;4;3;0.8;0.0042;0.0;0.0;;1.0;0.0;0.0;5.4769;2;-26.8375;0.0225;-0.7584
GOOG;4;3;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4806;2;-41.6605;0.0245;-1.081
MSFT;4;3;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4806;2;-26.2126;0.0223;-0.7468
AMZN;4;3;0.8;0.0042;0.0;0.0164;2.0;1.0;0.0;0.0;5.4785;2;-58.2284;0.0316;-1.1711
META;4;3;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4806;2;-81.5559;0.0406;-1.2769
XOM;4;3;0.8;0.0042;0.0;0.0163;2.0;1.0;0.0;0.0;5.4747;2;65.175;0.022;1.8785
CVX;4;3;0.8;0.0042;0.0;0.0164;2.0;1.0;0.0;0.0;5.4785;2;49.8271;0.0208;1.5241
BP;4;3;0.8;0.0118;0.3022;0.6228;2.3424;0.5;0.0;0.6961;5.0074;2;35.047;0.0224;0.9917
GAZP.ME;4;3;0.8;0.0145;;0.0;;inf;0.0;0.0;4.2047;2;-12.4395;0.0606;-0.4235
LUKOY;4;3;0.8;0.6114;0.9994;0.9988;91.4578;0.0066;3.878;0.816;2.0215;2;-148.0278;0.0921;-1.021
TSLA;4;3;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4806;2;-96.1875;0.0412;-1.4841
F;4;3;0.8;0.0282;0.7007;0.8602;3.5614;0.0476;1.2781;1.6786;4.8189;2;-47.4797;0.0309;-0.9761
GM;4;3;0.8;0.0053;0.0588;0.1226;2.0;0.5;0.0;0.0;5.3684;2;-49.7023;0.0277;-1.1394
TM;4;3;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4806;2;-27.2904;0.0173;-1.0008
HMC;4;3;0.8;0.0273;0.4845;0.7206;3.0997;0.04;0.855;1.4366;4.5635;2;-15.5847;0.0176;-0.5629
GLD;4;3;0.8;0.0044;0.0;0.0625;2.0;1.0;0.0;0.0;5.4588;2;1.9204;0.0096;0.1271
SLV;4;3;0.8;0.0268;0.6295;0.8229;3.1512;0.0556;1.1359;1.4586;4.7018;2;8.3313;0.019;0.2788
PALL;4;3;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4806;2;10.6484;0.0324;0.2089
PLAT;4;3;0.8;0.0067;0.2933;0.3112;2.1034;0.5;0.0;0.3326;5.2716;2;-49.7611;0.025;-1.2643
FCX;4;3;0.8;0.0044;0.0;0.031;2.0;1.0;0.0;0.0;5.4561;2;7.3001;0.034;0.1364
SPY;4;3;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4806;2;-17.7133;0.0153;-0.7353
IVV;4;3;0.8;0.0041;;0.0;;inf;0.0;0.0;5.4806;2;-17.7171;0.0153;-0.7358
