Инструмент;Embedding Dimension;Time Delay;Radius;RR;DET;LAM;TT;DIV;diag_entr;vert_entr;white_vert_entr;MINLINE;Доходность;Волатильность;Sharpe Ratio
F;3;3;1.0;0.0906;0.8584;0.9241;5.7007;0.0164;1.9985;2.3814;4.2493;2;-47.4797;0.0309;-0.9761
GM;3;3;1.0;0.0139;0.1769;0.407;2.1056;0.2;0.3446;0.347;4.8428;2;-49.7023;0.0277;-1.1394
TM;3;3;1.0;0.0049;0.0;0.0614;2.0;1.0;0.0;0.0;5.4143;2;-27.2904;0.0173;-1.0008
HMC;3;3;1.0;0.0892;0.7443;0.8573;4.626;0.0256;1.4537;2.0591;3.8395;2;-15.5847;0.0176;-0.5629
GLD;3;3;1.0;0.0063;0.1493;0.2876;2.0566;0.25;0.5623;0.2175;5.2864;2;1.9204;0.0096;0.1271
SLV;3;3;1.0;0.0817;0.8033;0.9005;4.911;0.0118;1.7259;2.2012;4.1015;2;8.3313;0.019;0.2788
PALL;3;3;1.0;0.0041;0.0;0.0161;2.0;1.0;0.0;0.0;5.4872;2;10.6484;0.0324;0.2089
PLAT;3;3;1.0;0.0227;0.4482;0.6659;2.5824;0.1111;0.8291;1.0234;4.5746;2;-49.7611;0.025;-1.2643
FCX;3;3;1.0;0.0085;0.0902;0.3581;2.1279;0.5;0.0;0.3906;5.1449;2;7.3001;0.034;0.1364
SPY;3;3;1.0;0.0041;0.0;0.0321;2.0;1.0;0.0;0.0;5.4898;2;-17.7133;0.0153;-0.7353
IVV;3;3;1.0;0.0041;0.0;0.0321;2.0;1.0;0.0;0.0;5.4898;2;-17.7171;0.0153;-0.7358
VOO;3;3;1.0;0.0042;0.0;0.0319;2.0;1.0;0.0;0.0;5.4861;2;-17.7629;0.0153;-0.7395
QQQ;3;3;1.0;0.0041;;0.0;;inf;0.0;0.0;5.4931;2;-35.2202;0.0203;-1.1027
DIA;3;3;1.0;0.0043;0.0;0.0311;2.0;1.0;0.0;0.0;5.476;2;-5.9812;0.0125;-0.3045
