Инструмент;Embedding Dimension;Time Delay;Radius;RR;DET;LAM;TT;DIV;diag_entr;vert_entr;white_vert_entr;MINLINE;Доходность;Волатильность;Sharpe Ratio;Score;Category
XOM;4;1;0,9;0,0041;0,0;0,0;nan;1,0;0,0;0,0;5,498000144958496;2;1,0;0,7767857142857142;1,0;1,2232142857142858;Best
XOM;2;2;0,9;0,0111;0,1233;0,2897;2,1868;0,3333;0,5623000264167786;0,5083000063896179;4,938499927520752;2;1,0;0,7767857142857142;1,0;1,2232142857142858;Best
XOM;4;1;1,0;0,0043;0,25;0,0076;2,0;0,5;0,0;0,0;5,481200218200684;2;1,0;0,7767857142857142;1,0;1,2232142857142858;Best
CVX;3;2;0,9;0,0044;0,0;0,0743;2,0;1,0;0,0;0,0;5,472799777984619;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
CVX;3;1;1,0;0,0046;0,0;0,0281;2,0;1,0;0,0;0,0;5,442800045013428;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
CVX;3;3;1,0;0,0044;0,0;0,0604;2,0;1,0;0,0;0,0;5,463200092315674;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
CVX;4;3;0,9;0,0042;0,0;0,0164;2,0;1,0;0,0;0,0;5,478499889373779;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
CVX;4;1;0,9;0,004;nan;0,0;nan;inf;0,0;0,0;5,505300045013428;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
CVX;3;2;0,8;0,0044;0,0;0,0749;2,0;1,0;0,0;0,0;5,472799777984619;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
CVX;4;2;0,8;0,0042;0,0;0,0478;2,0;1,0;0,0;0,0;5,486599922180176;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
CVX;3;3;0,8;0,0042;0,0;0,0474;2,0;1,0;0,0;0,0;5,482900142669678;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
CVX;4;1;1,0;0,004;nan;0,0;nan;inf;0,0;0,0;5,505300045013428;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
CVX;4;2;1,0;0,0042;0,0;0,0474;2,0;1,0;0,0;0,0;5,484399795532227;2;0,8563398870225721;0,6696428571428572;0,8802500422368644;1,0669470721165792;Mean
